"","Module title","ID","Composite name","Module size...4","Module category","Annotation level","Web link","Top matched pathway in KEGG, PID and BIOCARTA","Jaccard Index...10","Enrichment p value...11","Pathway size","Overlap size...13","Top matched Chaussabel module","Jaccard Index...15","Enrichment p value...16","Module size...17","Overlap size...18","Top matched Transcription Factor","Jaccard Index...20","Enrichment p value...21","Gene set size","Overlap size...23","Top matched Gene Ontology terms (number of matched genes)","btm","group","subgroup","SetSize","Genes"
"1","B cell development","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11,"TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF"
"2","B cell development/activation","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11,"TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK"
"3","B cell surface signature","S2","B cell surface signature (S2)",169,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S2.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (140), plasma membrane (123), protein binding (93)","S2","B CELLS","B CELLS",169,"SSPN, AVPR1A, KCNE4, TSPAN13, CD37, HEPACAM2, GYPA, SEMA4B, EGF, GPR37, MS4A1, C11orf87, USH2A, PPP1R3A, OR12D3, POPDC3, DCC, SLC12A1, GP5, CDH5, SLITRK6, HLA-DPB1, PCDHA3, TRHDE, FAIM3, CD22, GHR, LY9, TAS2R13, FLRT2, TPTE, TMEM100, GYPE, PLD4, ADAM7, KCNMB3, FCRL3, GPR6, CSPG4, SYT2, ROBO2, NRXN3, FREM2, TRPC1, GPR116, TMEM47, SCN3A, NPY1R, LPPR4, NOX4, PDZK1IP1, CCR9, CD200, GABBR1, EDNRB, GJC1, LHCGR, PCDHB8, NT5E, PDPN, PCDHB4, CLDN8, LRRTM4, HRH4, NMBR, NCAM2, GRM5, TM4SF20, IL5RA, JAM2, JAM3, IL28RA, MC3R, F2RL3, ASTN1, MOGAT2, SLC26A7, SLC24A1, TACR3, CR2, IL13RA2, IMPG2, LRRC19, TMEFF2, ITM2C, PCDH10, BTC, GPR98, AGTR1, CD19, TMEM133, CD72, UGT2A3, OR11A1, TLR10, CSMD1, TRPC7, CCR6, GABRA5, PLP1, CD79B, CLCA4, CD79A, CNR1, EPHA3, SLC30A10, SGCE, BTLA, CHRNB4, PCDHB10, PCDHB16, PCDHB15, PCDHB14, CADM2, GPR85, SLC6A15, GPR87, NLGN1, SLC13A1, CELSR1, OR1E1, GABRB1, CD180, ADAM28, CXADR, TAAR2, HHLA2, SLC17A6, CNTNAP3, SLC6A16, HLA-DOA, HLA-DOB, HLA-DPA1, ABCA8, CD52, OR2J2, CHL1, TMEM156, SLC5A7, P2RX5, OR2W1, LPHN3, LPHN2, HLA-DRA, LRP1B, CXCR5, ABCB4, FCRL1, FCRL2, PCDH20, FCRL5, KCND2, SLC44A5, ITGB6, NLGN4Y, FCGR2B, CHRM2, PTH2R, HEPH, CD24, PCDH9, BAI3, PTPRR, SELE, FAM26F, SCN1A, HTR1E, PTPRK, HLA-DMA"
"4","BCR signaling","M54","BCR signaling (M54)",12,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M54.htm","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.16,8.69e-31,75,12,NA,NA,NA,NA,NA,"OCT1_Q6",0.02,3.62e-06,210,4,"protein binding (11), plasma membrane (9), cytosol (9)","M54","B CELLS","B CELLS",12,"INPP5D, SYK, PIK3CD, VAV1, PLCG2, PIK3R5, PIK3R3, RAC2, LYN, PTPN6, BTK, BLNK"
"5","CCR1, 7 and cell signaling","M59","CCR1, 7 and cell signaling (M59)",10,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M59.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.2",0.02,2.73e-05,138,3,"HSF1_01",0.02,1.44e-08,202,5,"protein binding (9), nucleus (4), cytoplasm (4)","M59","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",10,"DUSP6, ZNF423, TIMP2, SOCS2, MAPK14, CCR1, CISH, CCR7, BCL6, TRIB1"
"6","CD1 and other DC receptors","M50","CD1 and other DC receptors (M50)",10,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M50.htm","KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.11,5.61e-25,88,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (9), plasma membrane (9), integral to plasma membrane (8)","M50","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",10,"CD1E, CD1B, CD1C, CD1A, CSF1R, IL1R2, CSF2RA, ANPEP, CD9, IL1R1"
"7","CD4 T cell surface signature Th1-stimulated","S6","CD4 T cell surface signature Th1-stimulated (S6)",9,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S6.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (9), membrane (7), protein binding (4)","S6","T CELLS","T CELLS",9,"F2R, TMEM200A, C6orf129, GPR19, LAG3, NDFIP2, TSPAN5, SV2A, GPR114"
"8","CD4 T cell surface signature Th2-stimulated","S7","CD4 T cell surface signature Th2-stimulated (S7)",13,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S7.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"membrane (9), integral to membrane (8), plasma membrane (7)","S7","T CELLS","T CELLS",13,"SLC37A3, GPR15, CD28, CLDND1, TMEM200A, SLC4A7, IL17RB, ITM2A, GPR171, SIT1, C6orf129, MAL, CD3G"
"9","DC surface signature","S5","DC surface signature (S5)",82,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S5.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (68), plasma membrane (53), membrane (52)","S5","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",82,"CSF2RB, TM2D2, CD1E, CD1B, PPAP2B, SLC7A8, CD1A, KMO, CD58, LRFN4, CCRL2, SIGLEC1, CD151, ADAM12, TM7SF4, SLC36A1, PDCD1LG2, PSEN2, GPR137B, C19orf28, TMEM158, PTGFRN, IL1R1, SLC6A6, SPINT2, LRP11, FZD5, TSPAN33, DIRC2, ALCAM, CD83, GJB2, GPNMB, ABHD12, CD9, EMP1, TFRC, HLA-DQB1, LHFPL2, TACSTD2, COLEC12, JAG1, SUCNR1, TMEM51, TGFA, SLC38A6, ITPRIPL2, CALCRL, CLDN23, ATP1B2, GRINA, FPR3, RAMP1, ATP1B1, TREM2, SRD5A3, SLC41A2, FAM70A, LAMP2, ABCC3, DENND1B, P2RY6, NRP1, NRP2, CXCL16, PRRG4, CRIM1, GPR157, OLR1, CD274, SDC2, SLCO2B1, SLC7A11, ADAM9, ABCA6, MSR1, ACE, AGPAT3, SLAMF8, SLC1A3, HLA-DQA1, TNFRSF11A"
"10","DNA repair","M76","DNA repair (M76)",22,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M76.htm","KEGG_DNA_REPLICATION",0.26,2.66e-29,36,12,NA,NA,NA,NA,NA,"E2F4DP1_01",0.04,3.14e-10,180,7,"nucleoplasm (22), DNA repair (22), nucleus (21)","M76","CELL CYCLE","CELL CYCLE",22,"PCNA, RFC5, RFC4, RFC3, RFC2, FEN1, FANCD2, RPA1, MRE11A, FANCG, POLD1, POLD3, LIG1, FANCI, BRCA1, BRCA2, GTF2H1, H2AFX, RPA3, POLE2, RAD51, RAD50"
"11","E2F transcription factor network","M8","E2F transcription factor network (M8)",18,"TF targets","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M8.htm","[PID]E2F transcription factor network",0.09,3.15e-12,55,6,"[Chaussabel.v2]M3.3",0.12,5.07e-15,49,7,"E2F_Q6_01",0.03,3.16e-09,170,6,"protein binding (12), nucleus (11), cytoplasm (10)","M8","CELL CYCLE","CELL CYCLE",18,"BRCA1, CCNA2, E2F2, E2F1, MELK, ORC1L, ZWINT, CDC25A, ERCC6L, ORC6L, C12orf48, KIAA1524, RAD54L, CDCA5, UBE2C, KIAA0101, FAM54A, CDC6"
"12","G protein coupled receptors cluster","M155","G protein coupled receptors cluster (M155)",10,"molecular function","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M155.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plasma membrane (10), integral to membrane (10), G-protein coupled receptor protein signaling pathway (10)","M155","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",10,"S1PR3, C3AR1, FPR2, PTH2R, PTGER2, LTB4R, PTAFR, FPR1, P2RY2, PTGDR"
"13","G protein mediated calcium signaling","M159","G protein mediated calcium signaling (M159)",10,"signaling","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M159.htm","KEGG_CALCIUM_SIGNALING_PATHWAY",0.03,4.97e-11,178,6,NA,NA,NA,NA,NA,"RREB1_01",0.02,4.48e-05,163,3,"signal transduction (8), plasma membrane (7), nucleotide binding (7)","M159","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",10,"PLCB1, GNAQ, CAMK4, GNAZ, ADCY9, GNA15, GNG11, PRKAR2B, CALM3, GNAI1"
"14","Hox cluster V","M96","Hox cluster V (M96)",10,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M96.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HP1SITEFACTOR_Q6",0.03,7.62e-09,178,5,"protein binding (10), sequence-specific DNA binding (9), nucleus (9)","M96","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",10,"PRDM16, CPNE8, HOXB2, HOXB3, HOXB7, HOXA11, HOXA4, HOXA2, NKX2-3, HOXA9"
